iter	Passed	Remaining
136	2415	15214
137	2435	15211
138	2455	15207
139	2469	15168
140	2486	15147
141	2504	15130
142	2523	15120
143	2539	15095
144	2557	15077
145	2572	15045
146	2590	15032
147	2607	15009
148	2625	14995
149	2642	14973
150	2659	14955
151	2677	14937
152	2693	14910
153	2707	14873
154	2727	14867
155	2746	14856
156	2764	14844
157	2777	14799
158	2794	14783
159	2812	14768
160	2831	14753
161	2846	14726
162	2867	14726
163	2885	14708
164	2904	14696
165	2919	14668
166	2938	14655
167	2953	14624
168	2970	14605
169	2988	14592
170	3007	14577
171	3025	14562
172	3041	14538
173	3056	14508
174	3073	14488
175	3091	14471
176	3106	14445
177	3124	14429
178	3141	14407
179	3159	14392
180	3178	14381
181	3196	14368
182	3215	14357
183	3233	14339
184	3253	14332
185	3272	14319
186	3289	14301
187	3308	14290
188	3326	14274
189	3345	14264
190	3363	14247
191	3384	14244
192	3403	14232
193	3421	14216
194	3438	14192
195	3455	14175
196	3474	14161
197	3491	14144
198	3507	14118
199	3524	14099
200	3544	14088
201	3561	14068
202	3580	14057
203	3600	14047
204	3618	14033
205	3636	14016
206	3657	14009
207	3676	13997
208	3696	13990
209	3716	13980
210	3734	13965
211	3752	13946
212	3769	13928
213	3787	13912
214	3807	13900
215	3824	13882
216	3843	13867
217	3861	13850
218	3879	13833
219	3897	13818
220	3917	13808
221	3934	13789
222	3951	13768
223	3969	13752
224	3990	13746
225	4010	13733
226	4028	13717
227	4046	13700
228	4062	13677
229	4079	13658
230	4098	13644
231	4117	13629
232	4137	13619
233	4152	13593
234	4172	13581
235	4190	13566
236	4209	13552
237	4228	13537
238	4245	13519
239	4263	13499
240	4280	13481
241	4298	13464
242	4316	13445
243	4334	13429
244	4360	13436
245	4379	13421
246	4402	13421
247	4425	13419
248	4446	13411
249	4467	13401
250	4487	13391
251	4507	13378
252	4528	13371
253	4546	13353
254	4568	13347
255	4587	13333
256	4607	13321
257	4627	13309
258	4652	13311
259	4675	13306
260	4701	13312
261	4725	13312
262	4750	13311
263	4774	13311
264	4804	13326
265	4835	13344
266	4862	13349
267	4887	13350
268	4910	13344
269	4933	13339
270	4957	13335
271	4983	13338
272	5007	13335
273	5032	13333
274	5053	13322
275	5075	13314
276	5097	13304
277	5115	13284
278	5134	13269
279	5152	13249
280	5172	13235
281	5192	13220
282	5210	13202
283	5229	13183
284	5247	13164
285	5266	13147
286	5285	13129
287	5302	13108
288	5321	13092
289	5348	13094
290	5378	13105
291	5405	13107
292	5433	13112
293	5458	13106
294	5480	13097
295	5500	13082
296	5519	13065
297	5540	13051
298	5559	13033
299	5578	13016
300	5599	13003
301	5618	12984
302	5635	12963
303	5654	12944
304	5675	12932
305	5694	12915
306	5713	12897
307	5734	12883
308	5752	12863
309	5772	12848
310	5792	12833
311	5812	12817
312	5831	12799
313	5850	12781
314	5869	12764
315	5889	12748
316	5909	12732
317	5927	12712
318	5945	12693
319	5964	12674
320	5981	12652
321	6001	12636
322	6022	12623
323	6041	12604
324	6063	12593
325	6082	12575
326	6101	12557
327	6120	12539
328	6141	12525
329	6163	12514
330	6185	12500
331	6204	12483
332	6226	12472
333	6246	12455
334	6268	12442
335	6288	12426
336	6306	12406
337	6327	12393
338	6349	12380
339	6370	12366
340	6394	12357
341	6419	12351
342	6443	12342
343	6466	12332
344	6486	12314
345	6503	12293
346	6522	12274
347	6541	12256
348	6561	12238
349	6579	12218
350	6597	12199
351	6616	12179
352	6635	12161
353	6655	12144
354	6673	12125
355	6691	12104
356	6711	12087
357	6730	12070
358	6749	12051
359	6769	12033
360	6787	12014
361	6806	11996
362	6825	11977
363	6844	11959
364	6864	11941
365	6882	11922
366	6903	11906
367	6923	11891
368	6947	11879
369	6967	11863
370	6988	11847
371	7011	11836
372	7033	11822
373	7058	11813
374	7081	11802
375	7104	11789
376	7128	11780
377	7150	11765
378	7169	11748
379	7195	11740
380	7216	11724
381	7238	11710
382	7259	11695
383	7282	11682
384	7305	11669
385	7326	11653
386	7349	11641
387	7374	11631
388	7401	11625
389	7422	11610
390	7443	11594
391	7465	11578
392	7484	11559
393	7505	11543
394	7525	11525
395	7542	11504
396	7562	11486
397	7581	11466
398	7600	11448
399	7622	11433
400	7643	11417
401	7662	11399
402	7681	11379
403	7702	11362
404	7722	11344
405	7740	11324
406	7758	11304
407	7776	11283
408	7794	11263
409	7812	11242
410	7830	11222
411	7849	11203
412	7869	11185
413	7887	11164
414	7907	11146
415	7926	11126
416	7944	11107
417	7962	11086
418	7981	11067
419	8002	11050
420	8021	11031
421	8039	11011
422	8058	10992
423	8076	10971
424	8094	10951
425	8115	10935
426	8138	10921
427	8156	10900
428	8176	10882
429	8194	10862
430	8214	10844
431	8233	10825
432	8252	10806
433	8270	10786
434	8289	10766
435	8307	10746
436	8326	10727
437	8345	10708
438	8365	10690
439	8384	10671
440	8403	10652
441	8423	10633
442	8444	10617
443	8463	10598
444	8482	10579
445	8500	10558
446	8518	10538
447	8535	10517
448	8554	10498
449	8573	10478
450	8592	10459
451	8611	10440
452	8631	10421
453	8649	10402
454	8665	10379
455	8683	10359
456	8703	10341
457	8722	10321
458	8741	10302
459	8760	10284
460	8779	10265
461	8799	10246
462	8818	10227
463	8836	10207
464	8855	10188
465	8874	10168
466	8890	10147
467	8909	10127
468	8928	10108
469	8948	10090
470	8968	10072
471	8987	10053
472	9006	10034
473	9024	10015
474	9044	9996
475	9063	9977
476	9082	9958
477	9100	9938
478	9119	9919
479	9138	9899
480	9157	9880
481	9176	9861
482	9196	9843
483	9214	9824
484	9235	9806
485	9254	9787
486	9272	9768
487	9292	9749
488	9310	9729
489	9329	9710
490	9347	9690
491	9366	9671
492	9386	9652
493	9403	9631
494	9421	9612
495	9439	9592
496	9461	9576
497	9485	9561
498	9508	9546
499	9527	9527
500	9547	9509
501	9569	9493
502	9591	9476
503	9615	9462
504	9636	9446
505	9656	9427
506	9677	9409
507	9697	9392
508	9719	9375
509	9741	9359
510	9764	9344
511	9784	9326
512	9805	9309
513	9827	9291
514	9850	9277
515	9871	9259
516	9895	9244
517	9917	9228
518	9939	9211
519	9960	9193
520	9980	9176
521	9999	9156
522	10018	9137
523	10037	9118
524	10055	9098
525	10073	9077
526	10091	9057
527	10110	9038
528	10130	9019
529	10149	9000
530	10169	8981
531	10186	8960
532	10204	8940
533	10223	8921
534	10242	8902
535	10262	8884
536	10282	8865
537	10301	8846
538	10320	8827
539	10339	8807
540	10360	8789
541	10379	8770
542	10398	8751
543	10415	8730
544	10436	8712
545	10454	8692
546	10477	8676
547	10495	8656
548	10514	8637
549	10532	8617
550	10553	8599
551	10572	8580
552	10592	8561
553	10610	8542
554	10629	8522
555	10647	8502
556	10667	8483
557	10685	8464
558	10705	8446
559	10725	8426
560	10743	8407
561	10761	8387
562	10781	8368
563	10800	8349
564	10820	8330
565	10839	8311
566	10857	8291
567	10875	8271
568	10894	8252
569	10913	8232
570	10932	8213
571	10950	8193
572	10970	8175
573	10989	8156
574	11008	8136
575	11027	8117
576	11046	8097
577	11064	8077
578	11083	8059
579	11102	8039
580	11121	8020
581	11141	8002
582	11162	7983
583	11179	7963
584	11198	7944
585	11220	7927
586	11239	7907
587	11258	7888
588	11276	7868
589	11295	7849
590	11316	7831
591	11336	7812
592	11356	7794
593	11370	7772
594	11389	7752
595	11408	7732
596	11427	7713
597	11444	7693
598	11463	7674
599	11481	7654
600	11500	7634
601	11518	7615
602	11536	7595
603	11555	7576
604	11573	7556
605	11592	7536
606	11612	7518
607	11631	7499
608	11649	7479
609	11669	7460
610	11689	7441
611	11707	7422
612	11731	7406
613	11750	7387
614	11772	7369
615	11789	7349
616	11808	7330
617	11827	7310
618	11846	7291
619	11865	7272
620	11884	7253
621	11902	7233
622	11920	7213
623	11942	7195
624	11964	7178
625	11985	7160
626	12007	7143
627	12029	7125
628	12052	7108
629	12071	7089
630	12094	7072
631	12114	7054
632	12134	7035
633	12156	7017
634	12178	7000
635	12197	6981
636	12219	6963
637	12242	6946
638	12264	6928
639	12284	6910
640	12309	6893
641	12327	6874
642	12348	6855
643	12370	6838
644	12393	6821
645	12415	6803
646	12435	6784
647	12457	6767
648	12477	6748
649	12494	6727
650	12513	6708
651	12531	6688
652	12550	6669
653	12572	6651
654	12594	6633
655	12614	6614
656	12635	6596
657	12662	6581
658	12686	6564
659	12710	6548
660	12734	6530
661	12754	6512
662	12780	6496
663	12807	6480
664	12839	6467
665	12860	6449
666	12886	6433
667	12910	6416
668	12932	6398
669	12956	6381
670	12975	6362
671	12994	6342
672	13012	6322
673	13032	6303
674	13051	6283
675	13070	6264
676	13089	6245
677	13108	6225
678	13126	6205
679	13144	6185
680	13163	6166
681	13182	6146
682	13201	6127
683	13220	6107
684	13239	6088
685	13256	6067
686	13274	6048
687	13294	6028
688	13315	6010
689	13334	5990
690	13354	5971
691	13371	5951
692	13389	5931
693	13408	5912
694	13428	5892
695	13447	5873
696	13469	5855
697	13488	5836
698	13507	5816
699	13526	5796
700	13545	5777
701	13563	5757
702	13583	5738
703	13602	5719
704	13621	5699
705	13640	5680
706	13659	5660
707	13678	5641
708	13697	5622
709	13717	5602
710	13737	5583
711	13756	5564
712	13773	5544
713	13792	5524
714	13812	5505
715	13829	5485
716	13848	5465
717	13866	5445
718	13886	5426
719	13904	5407
720	13922	5387
721	13940	5367
722	13959	5348
723	13978	5328
724	13998	5309
725	14018	5290
726	14038	5271
727	14058	5252
728	14077	5233
729	14097	5213
730	14113	5193
731	14132	5174
732	14153	5155
733	14172	5136
734	14191	5116
735	14209	5096
736	14227	5077
737	14246	5057
738	14266	5038
739	14286	5019
740	14304	4999
741	14323	4980
742	14342	4960
743	14362	4941
744	14383	4923
745	14405	4904
746	14424	4885
747	14445	4866
748	14469	4848
749	14490	4830
750	14511	4811
751	14536	4793
752	14556	4774
753	14583	4758
754	14604	4739
755	14626	4720
756	14648	4702
757	14670	4683
758	14690	4664
759	14710	4645
760	14734	4627
761	14755	4608
762	14775	4589
763	14800	4572
764	14822	4553
765	14841	4533
766	14864	4515
767	14893	4499
768	14922	4482
769	14946	4464
770	14966	4445
771	14986	4426
772	15013	4408
773	15033	4389
774	15055	4370
775	15074	4351
776	15094	4332
777	15121	4314
778	15146	4297
779	15169	4278
780	15187	4258
781	15206	4239
782	15227	4220
783	15245	4200
784	15264	4180
785	15279	4160
786	15298	4140
787	15317	4121
788	15336	4101
789	15356	4082
790	15376	4062
791	15394	4043
792	15412	4023
793	15432	4003
794	15450	3984
795	15469	3964
796	15488	3944
797	15506	3925
798	15525	3905
799	15543	3885
800	15562	3866
801	15580	3846
802	15600	3827
803	15618	3807
804	15638	3788
805	15657	3768
806	15677	3749
807	15696	3729
808	15715	3710
809	15734	3690
810	15751	3670
811	15768	3650
812	15788	3631
813	15805	3611
814	15824	3592
815	15842	3572
816	15860	3552
817	15879	3533
818	15897	3513
819	15916	3493
820	15935	3474
821	15953	3454
822	15972	3435
823	15993	3416
824	16012	3396
825	16030	3376
826	16048	3357
827	16068	3337
828	16087	3318
829	16106	3298
830	16125	3279
831	16144	3259
832	16161	3240
833	16180	3220
834	16200	3201
835	16221	3182
836	16242	3163
837	16261	3143
838	16282	3124
839	16309	3106
840	16330	3087
841	16351	3068
842	16371	3048
843	16391	3029
844	16410	3010
845	16433	2991
846	16455	2972
847	16479	2953
848	16505	2935
849	16527	2916
850	16550	2897
851	16570	2878
852	16592	2859
853	16615	2840
854	16638	2821
855	16659	2802
856	16682	2783
857	16702	2764
858	16726	2745
859	16750	2726
860	16770	2707
861	16795	2688
862	16819	2670
863	16843	2651
864	16865	2632
865	16886	2612
866	16908	2593
867	16935	2575
868	16961	2556
869	16989	2538
870	17019	2520
871	17049	2502
872	17076	2484
873	17102	2465
874	17132	2447
875	17161	2429
876	17187	2410
877	17214	2392
878	17241	2373
879	17268	2354
880	17297	2336
881	17326	2317
882	17354	2299
883	17383	2281
884	17409	2262
885	17435	2243
886	17461	2224
887	17486	2205
888	17517	2187
889	17548	2168
890	17576	2150
891	17598	2130
892	17619	2111
893	17641	2091
894	17669	2072
895	17690	2053
896	17709	2033
897	17727	2013
898	17745	1993
899	17765	1973
900	17784	1954
901	17804	1934
902	17823	1914
903	17842	1894
904	17860	1874
905	17880	1855
906	17898	1835
907	17918	1815
908	17935	1795
909	17954	1775
910	17974	1756
911	17993	1736
912	18011	1716
913	18030	1696
914	18048	1676
915	18068	1656
916	18087	1637
917	18106	1617
918	18124	1597
919	18142	1577
920	18160	1557
921	18177	1537
922	18198	1518
923	18216	1498
924	18235	1478
925	18253	1458
926	18272	1438
927	18290	1419
928	18311	1399
929	18331	1379
930	18349	1359
931	18369	1340
932	18393	1320
933	18413	1301
934	18432	1281
935	18452	1261
936	18471	1241
937	18491	1222
938	18513	1202
939	18531	1182
940	18551	1163
941	18570	1143
942	18589	1123
943	18608	1103
944	18632	1084
945	18653	1064
946	18671	1044
947	18691	1025
948	18712	1005
949	18731	985
950	18750	966
951	18769	946
952	18788	926
953	18805	906
954	18825	887
955	18844	867
956	18863	847
957	18883	827
958	18901	808
959	18920	788
960	18940	768
961	18961	748
962	18979	729
963	18998	709
964	19018	689
965	19037	670
966	19058	650
967	19077	630
968	19097	610
969	19115	591
970	19137	571
971	19158	551
972	19180	532
973	19199	512
974	19221	492
975	19242	473
976	19264	453
977	19287	433
978	19308	414
979	19329	394
980	19350	374
981	19372	355
982	19391	335
983	19410	315
984	19430	295
985	19453	276
986	19477	256
987	19499	236
988	19523	217
989	19545	197
990	19569	177
991	19591	157
992	19613	138
993	19636	118
994	19658	98
995	19681	79
996	19705	59
997	19726	39
998	19751	19
999	19778	0
